Object Number,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository,Tags
51.501.4223,399877,Drawings and Prints,Print,"The dream of St Joseph, who is sleeping at the right, the Virgin and Child by a cross surrounded by angels and many putti and with God the Father above",,,,,,Artist|Publisher,,Pietro Testa|Giovanni Giacomo De Rossi,"Italian, Lucca 1612–1650 Rome|Italian, Rome 1627–1691 Rome",,Italian|Italian,1612      |1627      ,1650      |1691      ,ca. 1635–37,1600,1650,Etching,sheet: 14 3/8 x 11 5/8 in. (36.5 x 29.5 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/399877,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
63.350.222.284.91,400013,Drawings and Prints,Baseball card,"Sullivan, Left Field, Chicago, from the Gold Coin series (N284) for Gold Coin Chewing Tobacco",,,,,,Publisher,,"D. Buchner & Co., New York","American, 19th century",,,1850,1900,1887,1887,1887,Commercial color lithography reproducing drawings,Sheet: 3 1/16 x 1 3/4 in. (7.7 x 4.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/400013,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Men|Portraits|Baseball|Athletes
2012.136.939,400018,Drawings and Prints,Print,Section and elevation of the Colosseum in Rome,,,,,,Artist|Publisher,,Giovanni Ambrogio Brambilla|Claudio Duchetti,"Italian, active Rome, 1575–99|Italian, active Venice and Rome, ca. 1565–died ca. 1585",,Italian|Italian,1575      |1565      ,1599      |1585      ,1581,1581,1581,Etching,sheet: 15 1/4 x 21 5/8 in. (38.7 x 55 cm),"Bequest of Phyllis Massar, 2011",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/400018,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Architecture
91.1.74,404850,Drawings and Prints,Print,"Chairing the Members, Plate IV: Four Prints of an Election",,,,,,Engraver|Artist and engraver,,François Antoine Aveline|William Hogarth,"French, Paris 1718–1780 London|British, London 1697–1764 London",,French|British,1718      |1697      ,1780      |1764      ,"January 1, 1758",1758,1758,Etching and engraving; third state of three,sheet: 16 9/16 x 22 1/16 in. (42 x 56 cm),"Gift of Sarah Lazarus, 1891",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/404850,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Men|Women|Pigs|Crowd
63.350.201.28.20,410156,Drawings and Prints,Print,"George Bubear, Oarsman, from World's Champions, Series 1 (N28) for Allen & Ginter Cigarettes",,,,,,Lithographer|Publisher,,"Lindner, Eddy & Claus|Allen & Ginter","American, New York|American, Richmond, Virginia",,American|American,,,1887,1887,1887,Commercial color lithograph,Sheet: 2 3/4 x 1 1/2 in. (7 x 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/410156,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Men|Portraits|Rowing|Athletes
"Burdick 325, R327.130",410683,Drawings and Prints,Baseball card,"Louis Chiozza; verso: Diamond Stars, No. 80 (1934 Averages)",,,,,,Publisher,,"National Chicle Gum Company, Cambridge, Massachusetts",,,,,,1935,1935,1935,Commercial color lithograph,Sheet: 2 7/8 x 2 3/8 in. (7.3 x 6 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/410683,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
51.501.4016,415848,Drawings and Prints,Print,"Prise de la Ville de Bone (Capture of the City of Bonne), from La Vie de Ferdinand Ier de Médicis série appelée aussi Les Batailles des Médicis (The Life of Ferdinand I de'Medici also called The Medici Battles)",,,,,La Vie de Ferdinand Ier de Médicis série appelée aussi Les Batailles des Médicis,Artist|Artist,After (?),Jacques Callot|Matteo Rosselli,"French, Nancy 1592–1635 Nancy|Italian, Florence 1578–1650 Florence",,French|Italian,1592      |1578      ,1635      |1650      ,1614–20,1614,1620,Engraving; first state of two (Lieure),Sheet: 7 11/16 x 11 5/8 in. (19.6 x 29.6 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/415848,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
59.644.71,417951,Drawings and Prints,Print,The Impossibility,,,,,,Artist,,Sebald Beham,"German, Nuremberg 1500–1550 Frankfurt",,German,1500,1550,1548,1548,1548,Engraving,Sheet: 3 1/4 x 2 1/8 in. (8.3 x 5.4 cm),"Gift of Harry G. Friedman, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/417951,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
17.50.17-371(236),419823,Drawings and Prints,Print,"S. Antioche, médecin (St. Antiochus, Doctor), July 15th, from Les Images De Tous Les Saincts et Saintes de L'Année (Images of All of the Saints and Religious Events of the Year)",,,,,Les Images De Tous Les Saincts et Saintes de L'Année,Artist|Publisher,,Jacques Callot|Israël Henriet,"French, Nancy 1592–1635 Nancy|French, Nancy ca. 1590–1661 Paris",,French|French,1592      |1590      ,1635      |1661      ,1636,1636,1636,Etching; second state of two (Lieure),Sheet: 2 9/16 x 1 15/16 in. (6.5 x 5 cm),"Purchase, Joseph Pulitzer Bequest, 1917",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/419823,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
31.108.4,428594,Drawings and Prints,Print,Sea-Bass Fisherman,,,,,,Artist,,Gifford Beal,"American, New York 1879–1956 New York",,American,1879,1956,early 20th century,1900,1931,Etching,Plate: 8 × 12 in. (20.3 × 30.5 cm)Sheet: 11 5/8 × 15 11/16 in. (29.5 × 39.8 cm),"Robert B. Dodson Fund, 1931",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/428594,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
24.63.1280,428786,Drawings and Prints,Print,Reverse Copy of Madame Bouthillier (Marie de Bragelogne),,,,,,Artist|Artist,After,Robert Nanteuil|Anonymous,"French, Reims 1623–1678 Paris",,French,1623,1678,ca. 1815,1810,1820,Engraving,Sheet: 14 13/16 × 11 1/8 in. (37.7 × 28.3 cm)Plate: 12 1/2 × 9 3/8 in. (31.7 × 23.8 cm),"Gift of Georgiana W. Sargent, in memory of John Osborne Sargent, 1924",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/428786,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Portraits|Women
"Burdick 314, E42.2",430474,Drawings and Prints,Print,"Reconnoitering, from the Boy Scouts series (E42) for the Fisher Candy Co.",,,,,,Publisher,Issued by,"Fisher Candy Co., Philadelphia",,,American,,,1910,1910,1910,Commercial color lithograph,Sheet: 2 5/8 × 1 1/2 in. (6.7 × 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/430474,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Boys
51.553.2(13),431102,Drawings and Prints,Print,Vues de St. Petersbourg,,,,,,Artist|Printer|Publisher,,"Ferdinand-Victor Perrot|Pohl & Stembach|Daziaro, Moscow and St. Petersburg","French, 1808–1841",,French,1808,1841,1840,1840,1840,"Lithography, hand-colored",Sheet: 15 3/8 × 21 7/8 in. (39 × 55.5 cm)Image: 11 3/4 × 19 1/8 in. (29.8 × 48.6 cm),"Gift of Robert D. Brewster, 1951",,Moscow and St. Petersburg,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/431102,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
63.350.246.212.127,433636,Drawings and Prints,"Baseball card, print","Fitzgerald, Sacramento, Pacific Coast League, from the ""Obak Baseball Players"" set (T212), issued by the American Tobacco Company to promote Obak Mouthpiece Cigarettes",,,,,,Publisher,Issued by the California branch of the,American Tobacco Company,,,,,,1910,1910,1910,Commercial color lithograph,Sheet: 2 5/8 × 1 1/2 in. (6.7 × 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/433636,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Men|Portraits|Baseball|Athletes
63.350.246.204.83,434286,Drawings and Prints,"Baseball card, print","Spencer, Catcher, Boston, American League, from the Baseball Players (Ramlys) series (T204) issued by the Mentor Company to promote Ramly and T.T.T. Turkish Cigarettes",,,,,,Publisher|Artist,"Issued by|Photograph copyright,","Mentor Company, Boston|Carl Homer Studios, Boston",,,,,,1909,1909,1909,Photolithograph,Sheet: 2 1/2 × 2 in. (6.4 × 5.1 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/434286,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Men|Portraits|Baseball|Athletes
13.190.4,446304,Islamic Art,Fragment,Fragment of a Bowl,,,,,,,,,,,,,,14th–15th century,1300,1499,Earthenware; incised decoration through a white slip and coloring under a transparent glaze.,H. 3 3/8 in. (9.6 cm)W. 6 3/8 in. (16.2 cm)D. 5 7/16 in. (13.8 cm)Wt. 16.6 oz. (470.7 g),"Rogers Fund, 1913",Attributed to,,,,Egypt,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/446304,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
26.238.2,447944,Islamic Art,Fragment,Fragment,,,,,,,,,,,,,,18th century,1700,1799,Cotton; painted,H. 13 in. (33 cm)W. 89 in. (226.1 cm),"Rogers Fund, 1926",Attributed to,,,,India,,,,,,,Textiles-Painted and/or Printed,,http://www.metmuseum.org/art/collection/search/447944,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Flowers
37.40.43,449151,Islamic Art,Dado panel,Dado Panel,,,,,,,,,,,,,,20th century,1900,1999,Plaster; cast,H. 16 3/4 in. (42.5 cm)W. 21 1/4 in. (54 cm)D. 2 1/2 in. (6.4 cm)Wt: 27 lbs. (12.2 kg),"Rogers Fund, 1937",Excavated in,Nishapur,,,Iran,,,,,,,Reproductions,,http://www.metmuseum.org/art/collection/search/449151,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Architecture
1974.294.4,452672,Islamic Art,Folio from an illustrated manuscript,"""Yusuf and Zulaikha"", Folio 51r from a Bustan of Sa`di",,,,,,,,,,,,,,ca. 1525–35,1500,1560,"Ink, opaque watercolor, and gold on paper",Painting: H. 7 1/4 in. (18.4 cm)                W. 4 11/16 in. (11.9 cm)Page: H. 11 in. (27.9 cm)          W. 7 1/4 in. (18.4 cm)Mat: H. 19 1/4 in. (48.9 cm)        W. 14 1/4 in. (36.2 cm),"Purchase, Louis V. Bell Fund and The Vincent Astor Foundation Gift, 1974",Attributed to,Bukhara,,,present-day Uzbekistan,,,,,,,Codices,,http://www.metmuseum.org/art/collection/search/452672,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Manuscripts|Men|Women
1975.1.420,459471,Robert Lehman Collection,Drawing,Head of a Man in Profile,,,,,,Artist,,Luca Signorelli (Luca d'Egidio di Luca di Ventura),"Italian, Cortona, active by 1470–died 1523 Cortona",,Italian,1470,1523,1490s,1490,1499,"Black chalk, pen and brown ink, heightened with white.",11 3/4 x 9 5/8 in.  (29.9 x 24.4 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/459471,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Heads|Men|Profiles
23.229.5-5,466522,Medieval Art,Fragment,Glass Fragment,French,,,,,,,,,,,,,13th century,1200,1299,Colorless glass,Overall: 2 3/16 x 1 3/16 in. (5.5 x 3 cm),"Gift of Dr. Bashford Dean, 1923",Made in,Paris,,,France,,,,,,,Glass-Stained,,http://www.metmuseum.org/art/collection/search/466522,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
63.185.2,468605,Medieval Art,Hilt,Eagle-Headed Hilt,Byzantine,,,,,,,,,,,,,4th century,300,400,Copper alloy,Overall: 4 1/2 x 3 13/16 x 1 in. (11.4 x 9.7 x 2.5 cm),"Gift of Lawrence J. Majewski, 1963",,,,,,,,,,,,Metalwork-Copper alloy,,http://www.metmuseum.org/art/collection/search/468605,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
1982.433.1,469993,The Cloisters,Panel,Grisaille Panel,French,,,,,,,,,,,,,1250–70,1250,1270,White and pot-metal glass with vitreous paint,23 1/2 x 18 1/2 in.  (59.7 x 47.0 cm),"The Cloisters Collection, 1982",Made in,,,Bourges,France,,,,,,,Glass-Stained,,http://www.metmuseum.org/art/collection/search/469993,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
25.120.637,470842,The Cloisters,Capital,Capital,Catalan,,,,,,,,,,,,,ca. 1130–40,1100,1150,Marble,Overall: 14 x 16 x 14 in. (35.6 x 40.6 x 35.6 cm),"The Cloisters Collection, 1925",Made in,,,,present-day France,,,,,,,Sculpture-Architectural,,http://www.metmuseum.org/art/collection/search/470842,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Capitals
32.24.27,471090,The Cloisters,Roundel,Roundel with Saint John the Baptist,South Netherlandish,,,,,,,,,,,,,ca. 1510–20,1510,1520,"Colorless glass, silver stain, vitreous paint",Overall Diam.: 9 in. (22.9 cm),"The Cloisters Collection, 1932",,,,,,,,,,,,Glass-Stained,,http://www.metmuseum.org/art/collection/search/471090,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Coat of Arms|Books|Sheep|Saint John the Baptist|Cross
1983.607.86,482952,Modern and Contemporary Art,Drawing,Untitled,,,,,,Artist,,Abraham Walkowitz,"American (born Russia), Tyumen 1878–1965 Brooklyn, New York",,"American, born Russia",1878,1965,ca. 1940,1940,1940,Graphite on paper,"H. 8, W. 5 inches(20.3 x 12.7 cm.)","Gift of Mr. and Mrs. Meyer Schapiro, 1983",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/482952,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Abstraction
1988.31.12,485091,Modern and Contemporary Art,Glass,Glass,,,,,,Designer|Manufacturer,,Timo Sarpaneva|Iittala Lasitehdas Oy,"Finnish, Helsinki 1926–2006 Helsinki",,Finnish|Finnish,1926,2006,1950s,1950,1959,Glass,"H. 2-3/4, D. 2-3/4 inches(7 x 7 cm.)","Purchase, Theodore R. Gamble Jr. Gift, in honor of his mother, Mrs. Theodore Robert Gamble, 1988",,,,,,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/485091,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
1994.322,486390,Modern and Contemporary Art,Design,"Design for a Washstand for the Blue Bedroom, Hous'hill",,,,,,Designer,,Charles Rennie Mackintosh,"British, Glasgow, Scotland 1868–1928 London",,"British, Scottish",1868,1928,1904,1904,1904,Watercolor and graphite on paper,10 × 11 in. (25.4 × 27.9 cm),"Purchase, Lila Acheson Wallace Gift, 1994",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/486390,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Bedrooms|Documents
1995.243,486599,Modern and Contemporary Art,Bowl,"""Tard la Nuit"" Bowl",,,,,,Designer,,Gaetano Pesce,"Italian, born La Spezia, 1939",,Italian,1939,2039,1989,1989,1989,Glass,"H. 4-1/2, W. 20, D. 17-3/4 in. (11.4 x 50.8 x 45.1 cm.)","Gift of Peter T. Joseph, 1995",,,,,,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/486599,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Bowls
1995.243,486599,Modern and Contemporary Art,Bowl,"""Tard la Nuit"" Bowl",,,,,,Designer,,Gaetano Pesce,"Italian, born La Spezia, 1939",,Italian,1939,2039,1989,1989,1989,Glass,"H. 4-1/2, W. 20, D. 17-3/4 in. (11.4 x 50.8 x 45.1 cm.)","Gift of Peter T. Joseph, 1995",,,,,,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/486599,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Bowls
49.70.207,488438,Modern and Contemporary Art,Drawing,Alvin Langdon Coburn,,,,,,Artist,,Marius de Zayas,"Mexican, Veracruz 1880–1961 Stamford, Connecticut",,Mexican,1880,1961,1910,1910,1910,"Ink, watercolor, metallic paint, and graphite on paper",17 3/8 x 11 1/4 in. (44.1 x 28.6 cm),"Alfred Stieglitz Collection, 1949",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/488438,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Tools and Equipment|Men|Portraits
17.6.74,544812,Egyptian Art,"Figurine, female, fragmentary",Upper Half of a Female Figurine,,Late Middle Kingdom–Early New Kingdom,Dynasty 12–18,,,,,,,,,,,ca. 1981–1550 B.C.,-1981,-1981,Pottery,H. 5.2 cm (2 1/16 in); W. 4.7 cm (1 7/8 in),"Gift of Albert M. Lythgoe, 1917",From,,,,Egypt,Northern Upper Egypt,"Qift, Birba",,,,,,,http://www.metmuseum.org/art/collection/search/544812,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
09.184.699,545193,Egyptian Art,"Ostracon, hieratic",Hieratic ostracon,,"New Kingdom, Ramesside",Dynasty 19–20,,,,,,,,,,,ca. 1295–1070 B.C.,-1295,-1295,"Limestone, ink, paint",L. 10.5 × H.14.8 × D.3.4 cm (4 1/8 × 5 13/16 × 1 5/16 in.),"Gift of Theodore M. Davis, 1909",From,,,,Egypt,"Upper Egypt, Thebes",Valley of the Kings,,,,,,,http://www.metmuseum.org/art/collection/search/545193,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
07.228.71,547202,Egyptian Art,"Figurine, seated woman",Figurine of a Seated Woman,,Late Naqada II,,,,,,,,,,,,ca. 3450–3300 B.C.,-3450,-3300,"Limestone, organic material, paint, malachite",D. 22.8 x H. 19.8 x W. 9.4 cm (9 x 7 13/16 x 3 11/16 in.),"Rogers Fund, 1907",From|Possibly from,,|,,Egypt,Northern Upper Egypt,"Naqada (Nubt, Ombos)",,,,,,,http://www.metmuseum.org/art/collection/search/547202,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Female Nudes
07.228.110,547248,Egyptian Art,"Beaker, white cross-lined ware",White cross-lined ware beaker decorated with zigzags,,"Predynastic, Naqada I",,,,,,,,,,,,ca. 3900–3650 B.C.,-3900,-3650,"Pottery, paint",H: 8.9 cm (3 1/2 in.),"Rogers Fund, 1907",From,,,,Egypt,,,,,,,,,http://www.metmuseum.org/art/collection/search/547248,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
36.3.205,549075,Egyptian Art,Club,Club,,New Kingdom,Dynasty 18,Joint reign of Hatshepsut and Thutmose III,,,,,,,,,,ca. 1479–1458 B.C.,-1473,-1458,Wood,L. 74 cm (29 1/8 in.); Max. W. 4.3 cm (1 11/16 in.);Th. 2.5 cm (1 in.),"Rogers Fund, 1936",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,"Tomb of Senenmut (TT 71), below",deposit of hunting weapons,"MMA excavations, 1935–36",,,,http://www.metmuseum.org/art/collection/search/549075,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
"31.3.51a, b",556721,Egyptian Art,"Basket, coil, lid",Cylindrical Coil Basket with Lid,,Middle Kingdom,Dynasty 11,,,,,,,,,,,ca. 2124–2000 B.C.,-2124,-2124,Grasses,Basket: H. 7 cm (2 3/4 in); diam. 7.5 cm (2 15/16 in)Lid: diam. 8.5 cm (3 3/8 in),"Rogers Fund, 1931",From,,,,Egypt,"Upper Egypt, Thebes",Asasif,Tomb MMA 839,"inside basket 31.3.50a, b","MMA excavations, 1929–30",,,,http://www.metmuseum.org/art/collection/search/556721,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
17.10.324,563318,Egyptian Art,Jar Label,Jar label fragments,,New Kingdom,Dynasty 18,reign of Amenhotep III,,,,,,,,,,ca. 1390–1352 B.C.,-1390,-1390,"Pottery and ink, paint",,"Rogers Fund, 1917",From,,,,Egypt,"Upper Egypt, Thebes",Malqata,Palace of Amenhotep III,,MMA excavations,,,,http://www.metmuseum.org/art/collection/search/563318,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
17.10.324,563318,Egyptian Art,Jar Label,Jar label fragments,,New Kingdom,Dynasty 18,reign of Amenhotep III,,,,,,,,,,ca. 1390–1352 B.C.,-1390,-1390,"Pottery and ink, paint",,"Rogers Fund, 1917",From,,,,Egypt,"Upper Egypt, Thebes",Malqata,Palace of Amenhotep III,,MMA excavations,,,,http://www.metmuseum.org/art/collection/search/563318,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
17.10.898,563892,Egyptian Art,"Jar Label, meat",Jar Label,,New Kingdom,Dynasty 18,reign of Amenhotep III,,,,,,,,,,ca. 1390–1352 B.C.,-1390,-1390,"Pottery and ink, paint",,"Rogers Fund, 1917",From,,,,Egypt,"Upper Egypt, Thebes",Malqata,Palace of Amenhotep III,,MMA excavations,,,,http://www.metmuseum.org/art/collection/search/563892,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
33.1.185g,564519,Egyptian Art,Relief fragment,Relief fragment,,Middle Kingdom,Dynasty 12,,,,,,,,,,,ca. 1981–1640 B.C.,-1981,-1640,Granite,,"Rogers Fund, 1933",From,,,,Egypt,Memphite Region,Lisht South,tomb of Senwosretankh,Pit 8,"MMA excavations, 1932–33",,,,http://www.metmuseum.org/art/collection/search/564519,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
20.3.203qqqq,565027,Egyptian Art,"Linen, from Wah's Mummy","Linen, from Wah's Mummy",,Middle Kingdom,Dynasty 12,"reign of Amenemhat I, early",,,,,,,,,,ca. 1981–1975 B.C.,-1981,-1975,Linen,,"Rogers Fund and Edward S. Harkness Gift, 1920",From,,,,Egypt,"Upper Egypt, Thebes",Southern Asasif,Tomb of Wah (MMA 1102),Mummy,"MMA excavations, 1920",,,,http://www.metmuseum.org/art/collection/search/565027,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
1973.565.2,623826,Drawings and Prints,Print,Discover Dry Dock Country: Madison Avenue between 63rd and 65th,,,,,,Artist,,Loretta Lustig,"American, active 1970s",,American,,,1972,1972,1972,Commercial printing in color,Other: 10 × 36 in. (25.4 × 91.4 cm),"Gift of Dry Dock Savings Bank, 1973",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/623826,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
35.85.19,625312,Drawings and Prints,Print,"St. Agatha, from 'Di Tutti gli Affresco del Correggio e di Quattro del Parmigianino'",,,,,,Printer|Artist|Artist|Artist|Artist|Artist,Intermediary draughtsman|After|Intermediary draughtsman,C. Frassinetti|Paolo Toschi|Carlo Raimondi|Agostino Marchesi|Parmigianino (Girolamo Francesco Maria Mazzola)|Paolo Toschi,"Italian, active ca. 1845–68|Italian, Parma 1788–1854 Parma|Italian, Bocche di Cattoro 1809–1883 Parma|Italian, Parma 1810–1867 Parma|Italian, Parma 1503–1540 Casalmaggiore|Italian, Parma 1788–1854 Parma",,Italian|Italian|Italian|Italian|Italian,1845      |1788      |1809      |1810      |1503      |1788      ,1868      |1854      |1883      |1867      |1540      |1854      ,ca. 1846,1841,1851,Engraving,Sheet: 30 1/8 × 21 1/2 in. (76.5 × 54.6 cm)Plate: 16 11/16 × 12 3/4 in. (42.4 × 32.4 cm),"Gift of Lucy Chauncey, in memory of her father, Henry Chauncey, 1935",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/625312,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
"Burdick 324, R311.38",632372,Drawings and Prints,Photograph,"Walter Switzer, Cornell Quarterback shown being grounded by three Columbia Players, from the ""Baseball and Football"" set (R311), issued by the National Chicle Company to promote Diamond Stars Gum",,,,,,Publisher,Issued by,"National Chicle Gum Company, Cambridge, Massachusetts",,,,,,1936,1936,1936,Albumen print (glossy finish),Sheet: 6 in. × 8 1/16 in. (15.3 × 20.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/632372,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Men|Playing|Baseball|Athletes
22.73.3-78,634357,Drawings and Prints,Print,"The Virgin and Child with St. John the Baptist, St. Francis, and St. Catherine of Siena",,,,,,Artist|Artist|Publisher,After,Andrea Andreani|Jacopo Ligozzi|Heinrich Stacker,"Mantua, 1558/1559–1629|Italian, Verona 1547–1627 Florence|German, active 16th–17th century",,Italian|Italian|German,1558      |1547      |1500      ,1629      |1627      |1699      ,1585,1585,1585,Chiaroscuro woodcut from four blocks printed in orange,Sheet: 16 11/16 × 13 1/4 in. (42.4 × 33.7 cm),"Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/634357,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Christian Imagery|Madonna and Child|Saint Catherine|Saint Francis|Saint John the Baptist
"Burdick 328, R414-5.81",634643,Drawings and Prints,"Print, baseball card","Card Number 28, Harry ""The Cat"" Brecheen, Pitcher, St. Louis Cardinals, from the Topps Red/ Blue Backs series (R414-5) issued by Topps Chewing Gum Company",,,,,,Publisher,Issued by,Topps Chewing Gum Company,"American, Brooklyn",,American,,,1951,1951,1951,Commercial color lithograph,Sheet: 2 5/8 × 2 1/16 in. (6.7 × 5.2 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/634643,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Men|Portraits|Baseball|Athletes
"Burdick 339, V401.145",638012,Drawings and Prints,Print,"Card No. 145, U.S. Luscombe ""Silvaire,"" from the Aviation Gum series (V356), issued by World Wide Gum Company, Ltd.",,,,,,Publisher,Issued by the,"World Wide Gum Company, Ltd.","Montreal, Canada",,Canadian,,,1940,1940,1940,Photolithograph,Sheet: 2 5/8 × 3 1/4 in. (6.6 × 8.2 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/638012,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
2014.642,638616,Photographs,Photograph,Officer Gordon F. Wilson Shows Mug Pictures to a Woman,,,,,,Artist,,William H. Mortimer,"American, active Baltimore 1970s",,American,,,1970,1970,1970,Gelatin silver print,Image: 8 in. × 5 3/8 in. (20.3 × 13.7 cm)Sheet: 8 9/16 × 5 15/16 in. (21.7 × 15.1 cm),"Anonymous Gift, 2014",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/638616,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Men|Women
